epoch, train_loss, val_loss, val_sic_r2, val_sod_f1, val_floe_f1, val_combined, time 
epoch, train_loss, val_loss, val_sic_r2, val_sod_f1, val_floe_f1, val_combined, time 
epoch, train_loss, val_loss, val_sic_r2, val_sod_f1, val_floe_f1, val_combined, time 
0,5.65412569,4.917244911,52.519,72.051,70.509,63.93,4735.553263
1,4.696654797,4.389239311,55.727,89.042,71.993,72.306,9266.662487
2,4.333432674,4.261122704,57.922,90.104,74.062,74.023,13798.55806
3,4.143488407,4.036314011,65.301,91.463,75.513,77.808,18449.30455
4,4.000216484,3.883834124,70.546,92.892,77.704,80.916,22984.60954
5,3.850847006,3.735588074,73.527,93.076,78.154,82.272,27437.86646
6,3.749662876,3.803723574,72.341,92.758,77.35,81.51,32043.58315
7,3.676907063,3.831319332,72.308,93.041,77.288,81.597,36621.88592
8,3.599272728,3.681101322,73.703,93.11,78.074,82.34,41085.33397
9,3.526428938,3.752696276,75.003,92.937,77.14,82.604,45662.86216
10,3.424625158,3.514823437,75.609,93.201,78.535,83.231,50276.16993
11,3.389073133,3.515666962,76.134,93.452,78.927,83.62,54769.69793
12,3.324494123,3.447502136,75.663,93.58,78.749,83.447,59235.51988
13,3.278395891,3.378098011,77.556,93.399,79.048,84.192,63852.36584
14,3.237589836,3.39198637,76.929,93.596,78.879,83.986,68394.16561
15,3.20056653,3.574919224,76.834,92.995,77.791,83.49,72878.2847
16,3.145523071,3.364973545,76.502,93.476,79.141,83.819,77501.86072
17,3.122143984,3.338890791,78.248,93.312,79.297,84.483,81924.84861
18,3.070777416,3.388643742,77.619,93.317,79.306,84.236,86436.88324
19,3.056043148,3.288720369,77.844,93.171,79.814,84.369,90945.34053
20,3.034802914,3.290979385,78.373,93.377,79.283,84.557,95495.62296
21,3.005982637,3.167797565,77.183,93.119,79.669,84.055,100054.038
22,2.997620583,3.235960007,78.708,93.346,79.957,84.813,104510.5691
23,2.983375072,3.215697527,79.255,93.371,79.168,84.884,109105.0067
24,2.95942378,3.154123545,78.443,93.276,80.177,84.723,113669.1715
25,2.996449709,3.212193251,78.426,93.417,80.492,84.836,118157.3328
26,2.956903696,3.191543579,78.464,93.243,80.314,84.746,122660.6265
27,2.950080156,3.189810276,79.347,93.091,80.375,85.05,127231.8477
28,2.924169064,3.151052475,77.958,93.443,80.013,84.563,131767.7152
29,2.93777585,3.118537188,76.971,93.353,80.14,84.158,136266.2274
30,2.913688421,3.212010622,77.979,93.038,80.281,84.463,140821.3316
31,2.907408953,3.22276926,79.951,92.969,80.306,85.229,145315.7679
32,2.884507179,3.191440105,79.695,92.949,79.828,85.023,149802.4657
33,2.886193275,3.219113827,80.142,93.085,80.021,85.295,154288.9411
34,2.870753288,3.187014341,77.621,93.275,80.244,84.407,158825.5523
35,2.88586545,3.150478363,81.613,93.289,80.027,86.066,163215.84
36,2.854625225,3.183894634,75.782,93.2,79.308,83.454,167865.4823
37,2.857115746,3.136973381,77.115,93.235,79.677,84.075,172304.2053
38,2.860722065,3.152960539,79.523,93.482,79.985,85.199,176783.0184
